Coach,Tm,sea_w/franc_count,sea_overall_count,rs_curr_sea_G,rs_curr_sea_W,rs_curr_sea_L,rs_w/franc_G,rs_w/franc_W,rs_w/franc_L,rs_career_G,rs_career_W,rs_career_L,rs_career_W%,po_curr_sea_G,po_curr_sea_W,po_curr_sea_L,po_w/franc_G,po_w/franc_W,po_w/franc_L,po_career_G,po_career_W,po_career_L,season,team_id,coy_share,won_coy,sum_coach_playoff_games,sum_coy_shares
Jamahl Mosley,ORL,4,4,49,24,25,295,127,168,295,127,168,0.431,0.0,0.0,0.0,7.0,3.0,4.0,7.0,3.0,4.0,2025,22,0.0,0.0,7.0,0.319
Ime Udoka,HOU,1,2,82,41,41,82,41,41,164,92,72,0.561,0.0,0.0,0.0,0.0,0.0,0.0,24.0,14.0,10.0,2024,11,0.012,0.0,24.0,0.092
Steve Clifford,CHO,7,10,82,21,61,574,244,330,801,340,461,0.424,0.0,0.0,0.0,11.0,3.0,8.0,21.0,5.0,16.0,2024,4,0.0,0.0,21.0,0.366
Frank Vogel,PHO,1,12,82,49,33,82,49,33,902,480,422,0.532,4.0,0.0,4.0,4.0,0.0,4.0,92.0,49.0,43.0,2024,24,0.0,0.0,88.0,0.444
Doc Rivers,MIL,1,25,36,17,19,36,17,19,1896,1114,782,0.588,6.0,2.0,4.0,6.0,2.0,4.0,221.0,113.0,108.0,2024,17,0.0,0.0,215.0,1.455
Monty Williams,DET,1,10,82,14,68,82,14,68,785,381,404,0.485,0.0,0.0,0.0,0.0,0.0,0.0,56.0,29.0,27.0,2024,9,0.0,0.0,56.0,1.618
Brian Keefe,WAS,1,1,39,8,31,39,8,31,39,8,31,0.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,30,0.0,0.0,0.0,0.0
Steve Kerr,GSW,10,10,82,46,36,793,519,274,793,519,274,0.654,0.0,0.0,0.0,140.0,99.0,41.0,140.0,99.0,41.0,2024,10,0.0,0.0,140.0,1.339
Erik Spoelstra,MIA,16,16,82,46,36,1277,750,527,1277,750,527,0.587,5.0,1.0,4.0,189.0,110.0,79.0,189.0,110.0,79.0,2024,16,0.012,0.0,184.0,0.979
Gregg Popovich,SAS,28,28,82,22,60,2209,1388,821,2209,1388,821,0.628,0.0,0.0,0.0,284.0,170.0,114.0,284.0,170.0,114.0,2024,27,0.0,0.0,284.0,3.043
Tom Thibodeau,NYK,4,12,82,50,32,318,175,143,916,527,389,0.575,13.0,7.0,6.0,29.0,14.0,15.0,85.0,38.0,47.0,2024,20,0.119,0.0,72.0,2.398
Mike Brown,SAC,2,10,82,46,36,164,94,70,727,441,286,0.607,0.0,0.0,0.0,7.0,3.0,4.0,90.0,50.0,40.0,2024,26,0.0,0.0,90.0,1.6059999999999999
Joe Prunty,MIL,2,3,3,2,1,40,23,17,42,25,17,0.595,0.0,0.0,0.0,7.0,3.0,4.0,7.0,3.0,4.0,2024,17,0.0,0.0,7.0,0.0
Taylor Jenkins,MEM,5,5,82,27,55,391,206,185,391,206,185,0.527,0.0,0.0,0.0,23.0,9.0,14.0,23.0,9.0,14.0,2024,15,0.0,0.0,23.0,0.6080000000000001
Adrian Griffin,MIL,1,1,43,30,13,43,30,13,43,30,13,0.698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,17,0.0,0.0,0.0,0.0
Jacque Vaughn,BRK,3,6,54,21,33,139,71,68,355,129,226,0.363,0.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,8.0,2024,3,0.0,0.0,8.0,0.032
Darko Rajakovic,TOR,1,1,82,25,57,82,25,57,82,25,57,0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,28,0.0,0.0,0.0,0.0
Willie Green,NOP,3,3,82,49,33,246,127,119,246,127,119,0.516,4.0,0.0,4.0,10.0,2.0,8.0,10.0,2.0,8.0,2024,19,0.0,0.0,6.0,0.002
Will Hardy,UTA,2,2,82,31,51,164,68,96,164,68,96,0.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,29,0.0,0.0,0.0,0.014
Wes Unseld,WAS,3,3,43,7,36,207,77,130,207,77,130,0.372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,30,0.0,0.0,5.0,0.047
Chauncey Billups,POR,3,3,82,21,61,246,81,165,246,81,165,0.329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,66,0.0,0.0,0.0,0.0
Chris Finch,MIN,4,4,82,56,26,287,160,127,287,160,127,0.557,16.0,9.0,7.0,27.0,12.0,15.0,27.0,12.0,15.0,2024,18,0.212,0.0,11.0,0.008
Kevin Ollie,BRK,1,1,28,11,17,28,11,17,28,11,17,0.393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,3,0.0,0.0,0.0,0.0
Jamahl Mosley,ORL,3,3,82,47,35,246,103,143,246,103,143,0.419,7.0,3.0,4.0,7.0,3.0,4.0,7.0,3.0,4.0,2024,22,0.319,0.0,0.0,0.0
Mark Daigneault,OKC,4,4,82,57,25,318,143,175,318,143,175,0.45,10.0,6.0,4.0,10.0,6.0,4.0,10.0,6.0,4.0,2024,21,0.956,1.0,0.0,0.328
Tyronn Lue,LAC,4,8,82,51,31,318,184,134,529,312,217,0.59,6.0,2.0,4.0,30.0,13.0,17.0,91.0,54.0,37.0,2024,13,0.0,0.0,85.0,0.019999999999999997
Rick Carlisle,IND,7,22,82,47,35,574,288,286,1771,943,828,0.532,17.0,8.0,9.0,52.0,26.0,26.0,150.0,71.0,79.0,2024,12,0.004,0.0,133.0,1.2489999999999999
Billy Donovan,CHI,4,9,82,39,43,318,156,162,718,399,319,0.556,0.0,0.0,0.0,5.0,1.0,4.0,46.0,19.0,27.0,2024,5,0.0,0.0,46.0,0.27
Michael Malone,DEN,9,11,82,57,25,719,424,295,825,463,362,0.561,12.0,7.0,5.0,80.0,44.0,36.0,80.0,44.0,36.0,2024,8,0.002,0.0,68.0,0.388
Jason Kidd,DAL,3,8,82,50,32,246,140,106,619,323,296,0.522,22.0,13.0,9.0,40.0,22.0,18.0,64.0,31.0,33.0,2024,7,0.002,0.0,42.0,0.134
Nick Nurse,PHI,1,6,82,47,35,82,47,35,472,274,198,0.581,6.0,2.0,4.0,6.0,2.0,4.0,47.0,27.0,20.0,2024,71,0.0,0.0,41.0,0.952
Darvin Ham,LAL,2,2,82,47,35,164,90,74,164,90,74,0.549,5.0,1.0,4.0,21.0,9.0,12.0,21.0,9.0,12.0,2024,14,0.0,0.0,16.0,0.006
J.B. Bickerstaff,CLE,5,8,82,48,34,329,170,159,545,255,290,0.468,12.0,5.0,7.0,17.0,6.0,11.0,22.0,7.0,15.0,2024,6,0.002,0.0,10.0,0.16
Steve Kerr,GSW,9,9,82,44,38,711,473,238,711,473,238,0.665,13.0,6.0,7.0,140.0,99.0,41.0,140.0,99.0,41.0,2023,10,0.0,0.0,127.0,1.339
Doc Rivers,PHI,3,24,82,54,28,236,154,82,1860,1097,763,0.59,11.0,7.0,4.0,35.0,20.0,15.0,215.0,111.0,104.0,2023,71,0.002,0.0,204.0,1.453
Steve Clifford,CHO,6,9,82,27,55,492,223,269,719,319,400,0.444,0.0,0.0,0.0,11.0,3.0,8.0,21.0,5.0,16.0,2023,4,0.0,0.0,21.0,0.366
Chauncey Billups,POR,2,2,82,33,49,164,60,104,164,60,104,0.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,66,0.0,0.0,0.0,0.0
Erik Spoelstra,MIA,15,15,82,44,38,1195,704,491,1195,704,491,0.589,23.0,13.0,10.0,184.0,109.0,75.0,184.0,109.0,75.0,2023,16,0.0,0.0,161.0,0.979
Dwane Casey,DET,5,14,82,17,65,384,121,263,1064,494,570,0.464,0.0,0.0,0.0,4.0,0.0,4.0,55.0,21.0,34.0,2023,9,0.0,0.0,55.0,0.837
Mike Budenholzer,MIL,5,10,82,58,24,391,271,120,801,484,317,0.604,5.0,1.0,4.0,65.0,39.0,26.0,104.0,56.0,48.0,2023,17,0.054,0.0,99.0,1.949
Joe Mazzulla,BOS,1,1,82,57,25,82,57,25,82,57,25,0.695,20.0,11.0,9.0,20.0,11.0,9.0,20.0,11.0,9.0,2023,2,0.154,0.0,0.0,0.0
Michael Malone,DEN,8,10,82,53,29,637,367,270,743,406,337,0.546,20.0,16.0,4.0,68.0,37.0,31.0,68.0,37.0,31.0,2023,8,0.06,0.0,48.0,0.328
Chris Finch,MIN,3,3,82,42,40,205,104,101,205,104,101,0.507,5.0,1.0,4.0,11.0,3.0,8.0,11.0,3.0,8.0,2023,18,0.0,0.0,6.0,0.008
Rick Carlisle,IND,6,21,82,35,47,492,241,251,1689,896,793,0.53,0.0,0.0,0.0,35.0,18.0,17.0,133.0,63.0,70.0,2023,12,0.0,0.0,133.0,1.2489999999999999
Mark Daigneault,OKC,3,3,82,40,42,236,86,150,236,86,150,0.364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,21,0.328,0.0,0.0,0.0
Taylor Jenkins,MEM,4,4,82,51,31,309,179,130,309,179,130,0.579,6.0,2.0,4.0,23.0,9.0,14.0,23.0,9.0,14.0,2023,15,0.01,0.0,17.0,0.5980000000000001
Quin Snyder,ATL,1,9,21,10,11,21,10,11,657,382,275,0.581,6.0,2.0,4.0,6.0,2.0,4.0,57.0,23.0,34.0,2023,1,0.0,0.0,51.0,0.85
Darvin Ham,LAL,1,1,82,43,39,82,43,39,82,43,39,0.524,16.0,8.0,8.0,16.0,8.0,8.0,16.0,8.0,8.0,2023,14,0.006,0.0,0.0,0.0
Stephen Silas,HOU,3,3,82,22,60,236,59,177,236,59,177,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,11,0.0,0.0,0.0,0.0
Mike Brown,SAC,1,9,82,48,34,82,48,34,645,395,250,0.612,7.0,3.0,4.0,7.0,3.0,4.0,90.0,50.0,40.0,2023,26,1.0,1.0,83.0,0.606
Steve Nash,BRK,3,3,7,2,5,161,94,67,161,94,67,0.584,0.0,0.0,0.0,16.0,7.0,9.0,16.0,7.0,9.0,2023,3,0.0,0.0,16.0,0.014
Billy Donovan,CHI,3,8,82,40,42,236,117,119,636,360,276,0.566,0.0,0.0,0.0,5.0,1.0,4.0,46.0,19.0,27.0,2023,5,0.0,0.0,46.0,0.27
Joe Prunty,ATL,1,2,2,2,0,2,2,0,39,23,16,0.59,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,4.0,2023,1,0.0,0.0,7.0,0.0
Nick Nurse,TOR,5,5,82,41,41,390,227,163,390,227,163,0.582,0.0,0.0,0.0,41.0,25.0,16.0,41.0,25.0,16.0,2023,28,0.0,0.0,41.0,0.952
Jamahl Mosley,ORL,2,2,82,34,48,164,56,108,164,56,108,0.341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,22,0.0,0.0,0.0,0.0
J.B. Bickerstaff,CLE,4,7,82,51,31,247,122,125,463,207,256,0.447,5.0,1.0,4.0,5.0,1.0,4.0,10.0,2.0,8.0,2023,6,0.104,0.0,5.0,0.056
Jason Kidd,DAL,2,7,82,38,44,164,90,74,537,273,264,0.508,0.0,0.0,0.0,18.0,9.0,9.0,42.0,18.0,24.0,2023,7,0.0,0.0,42.0,0.134
Tyronn Lue,LAC,3,7,82,44,38,236,133,103,447,261,186,0.584,5.0,1.0,4.0,24.0,11.0,13.0,85.0,52.0,33.0,2023,13,0.002,0.0,80.0,0.018
Nate McMillan,ATL,3,19,59,29,30,179,99,80,1428,760,668,0.532,0.0,0.0,0.0,23.0,11.0,12.0,76.0,28.0,48.0,2023,1,0.0,0.0,124.0,2.388
Jacque Vaughn,BRK,2,5,75,43,32,85,50,35,301,108,193,0.359,4.0,0.0,4.0,8.0,0.0,8.0,8.0,0.0,8.0,2023,3,0.032,0.0,4.0,0.0
Monty Williams,PHO,4,9,82,45,37,309,194,115,703,367,336,0.522,11.0,6.0,5.0,46.0,27.0,19.0,56.0,29.0,27.0,2023,24,0.0,0.0,45.0,1.618
Gregg Popovich,SAS,27,27,82,22,60,2127,1366,761,2127,1366,761,0.642,0.0,0.0,0.0,284.0,170.0,114.0,284.0,170.0,114.0,2023,27,0.0,0.0,284.0,3.043
Wes Unseld,WAS,2,2,82,35,47,164,70,94,164,70,94,0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,30,0.0,0.0,5.0,0.047
Will Hardy,UTA,1,1,82,37,45,82,37,45,82,37,45,0.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,29,0.014,0.0,0.0,0.0
Tom Thibodeau,NYK,3,11,82,47,35,236,125,111,834,477,357,0.572,11.0,6.0,5.0,16.0,7.0,9.0,72.0,31.0,41.0,2023,20,0.032,0.0,61.0,2.366
Willie Green,NOP,2,2,82,42,40,164,78,86,164,78,86,0.476,0.0,0.0,0.0,6.0,2.0,4.0,6.0,2.0,4.0,2023,19,0.002,0.0,6.0,0.0
Steve Kerr,GSW,8,8,82,53,29,629,429,200,629,429,200,0.682,22.0,16.0,6.0,127.0,93.0,34.0,127.0,93.0,34.0,2022,10,0.0,0.0,105.0,1.339
Gregg Popovich,SAS,26,26,82,34,48,2045,1344,701,2045,1344,701,0.657,0.0,0.0,0.0,284.0,170.0,114.0,284.0,170.0,114.0,2022,27,0.0,0.0,284.0,3.043
Billy Donovan,CHI,2,7,82,46,36,154,77,77,554,320,234,0.578,5.0,1.0,4.0,5.0,1.0,4.0,46.0,19.0,27.0,2022,5,0.0,0.0,41.0,0.27
Steve Nash,BRK,2,2,82,44,38,154,92,62,154,92,62,0.597,4.0,0.0,4.0,16.0,7.0,9.0,16.0,7.0,9.0,2022,3,0.0,0.0,12.0,0.014
Alvin Gentry,SAC,1,18,65,24,41,65,24,41,1170,534,636,0.456,0.0,0.0,0.0,0.0,0.0,0.0,30.0,17.0,13.0,2022,26,0.0,0.0,30.0,0.12100000000000001
Taylor Jenkins,MEM,3,3,82,56,26,227,128,99,227,128,99,0.564,12.0,6.0,6.0,17.0,7.0,10.0,17.0,7.0,10.0,2022,15,0.54,0.0,5.0,0.058
Monty Williams,PHO,3,8,82,64,18,227,149,78,621,322,299,0.519,13.0,7.0,6.0,35.0,21.0,14.0,45.0,23.0,22.0,2022,24,0.916,1.0,32.0,0.7020000000000001
Nick Nurse,TOR,4,4,82,48,34,308,186,122,308,186,122,0.604,6.0,2.0,4.0,41.0,25.0,16.0,41.0,25.0,16.0,2022,28,0.008,0.0,35.0,0.944
Jason Kidd,DAL,1,6,82,52,30,82,52,30,455,235,220,0.516,18.0,9.0,9.0,18.0,9.0,9.0,42.0,18.0,24.0,2022,7,0.018,0.0,24.0,0.11599999999999999
Ime Udoka,BOS,1,1,82,51,31,82,51,31,82,51,31,0.622,24.0,14.0,10.0,24.0,14.0,10.0,24.0,14.0,10.0,2022,2,0.092,0.0,0.0,0.0
Rick Carlisle,IND,5,20,82,25,57,410,206,204,1607,861,746,0.536,0.0,0.0,0.0,35.0,18.0,17.0,133.0,63.0,70.0,2022,12,0.0,0.0,133.0,1.2489999999999999
Stephen Silas,HOU,2,2,82,20,62,154,37,117,154,37,117,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,11,0.0,0.0,0.0,0.0
J.B. Bickerstaff,CLE,3,6,82,44,38,165,71,94,381,156,225,0.409,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,2022,6,0.056,0.0,5.0,0.0
Michael Malone,DEN,7,9,82,48,34,555,314,241,661,353,308,0.534,5.0,1.0,4.0,48.0,21.0,27.0,48.0,21.0,27.0,2022,8,0.0,0.0,43.0,0.328
Tom Thibodeau,NYK,2,10,82,37,45,154,78,76,752,430,322,0.572,0.0,0.0,0.0,5.0,1.0,4.0,61.0,25.0,36.0,2022,20,0.0,0.0,61.0,2.366
Tyronn Lue,LAC,2,6,82,42,40,154,89,65,365,217,148,0.595,0.0,0.0,0.0,19.0,10.0,9.0,80.0,51.0,29.0,2022,13,0.018,0.0,80.0,0.0
Jamahl Mosley,ORL,1,1,82,22,60,82,22,60,82,22,60,0.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,22,0.0,0.0,0.0,0.0
Mark Daigneault,OKC,2,2,82,24,58,154,46,108,154,46,108,0.299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,21,0.0,0.0,0.0,0.0
Luke Walton,SAC,3,6,17,6,11,161,68,93,407,166,241,0.408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,26,0.0,0.0,0.0,0.0
James Borrego,CHO,4,5,82,43,39,301,138,163,331,148,183,0.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,4,0.0,0.0,0.0,0.0
Chris Finch,MIN,2,2,82,46,36,123,62,61,123,62,61,0.504,6.0,2.0,4.0,6.0,2.0,4.0,6.0,2.0,4.0,2022,18,0.008,0.0,0.0,0.0
Wes Unseld,WAS,1,1,82,35,47,82,35,47,82,35,47,0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,30,0.0,0.0,5.0,0.047
Chauncey Billups,POR,1,1,82,27,55,82,27,55,82,27,55,0.329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,66,0.0,0.0,0.0,0.0
Willie Green,NOP,1,1,82,36,46,82,36,46,82,36,46,0.439,6.0,2.0,4.0,6.0,2.0,4.0,6.0,2.0,4.0,2022,19,0.0,0.0,0.0,0.0
Quin Snyder,UTA,8,8,82,49,33,636,372,264,636,372,264,0.585,6.0,2.0,4.0,51.0,21.0,30.0,51.0,21.0,30.0,2022,29,0.0,0.0,45.0,0.85
