Coach,Tm,sea_w/franc_count,sea_overall_count,rs_curr_sea_G,rs_curr_sea_W,rs_curr_sea_L,rs_w/franc_G,rs_w/franc_W,rs_w/franc_L,rs_career_G,rs_career_W,rs_career_L,rs_career_W%,po_curr_sea_G,po_curr_sea_W,po_curr_sea_L,po_w/franc_G,po_w/franc_W,po_w/franc_L,po_career_G,po_career_W,po_career_L,season,team_id,coy_share,won_coy,sum_coach_playoff_games,sum_coy_shares
Scott Skiles,MIL,3,11,82,35,47,246,115,131,778,396,382,0.509,0.0,0.0,0.0,7.0,3.0,4.0,42.0,18.0,24.0,2011,17,0.0,0.0,42.0,0.867
Lionel Hollins,MEM,5,5,82,46,36,267,117,150,267,117,150,0.438,13.0,7.0,6.0,13.0,7.0,6.0,13.0,7.0,6.0,2011,15,0.032,0.0,0.0,0.01
Monty Williams,NOH,1,1,82,46,36,82,46,36,82,46,36,0.561,6.0,2.0,4.0,6.0,2.0,4.0,6.0,2.0,4.0,2011,19,0.017,0.0,0.0,0.0
Scott Brooks,OKC,3,3,82,55,27,233,127,106,233,127,106,0.545,17.0,9.0,8.0,23.0,11.0,12.0,23.0,11.0,12.0,2011,21,0.0,0.0,6.0,0.78
Paul Silas,CHA,5,11,54,25,29,335,186,149,809,380,429,0.47,0.0,0.0,0.0,23.0,11.0,12.0,29.0,13.0,16.0,2011,4,0.0,0.0,29.0,0.09000000000000001
Avery Johnson,NJN,1,5,82,24,58,82,24,58,346,218,128,0.63,0.0,0.0,0.0,0.0,0.0,0.0,47.0,23.0,24.0,2011,3,0.0,0.0,47.0,1.084
Erik Spoelstra,MIA,3,3,82,58,24,246,148,98,246,148,98,0.602,21.0,14.0,7.0,33.0,18.0,15.0,33.0,18.0,15.0,2011,16,0.01,0.0,12.0,0.089
Larry Drew,ATL,1,1,82,44,38,82,44,38,82,44,38,0.537,12.0,6.0,6.0,12.0,6.0,6.0,12.0,6.0,6.0,2011,1,0.0,0.0,0.0,0.0
Nate McMillan,POR,6,11,82,48,34,492,246,246,887,458,429,0.516,6.0,2.0,4.0,18.0,6.0,12.0,34.0,14.0,20.0,2011,66,0.047,0.0,76.0,2.0949999999999998
Frank Vogel,IND,1,1,38,20,18,38,20,18,38,20,18,0.526,5.0,1.0,4.0,5.0,1.0,4.0,5.0,1.0,4.0,2011,12,0.002,0.0,0.0,0.0
Doc Rivers,BOS,7,12,82,56,26,574,336,238,913,507,406,0.555,9.0,5.0,4.0,80.0,46.0,34.0,95.0,51.0,44.0,2011,2,0.002,0.0,86.0,0.908
John Kuester,DET,2,2,82,30,52,164,57,107,164,57,107,0.348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,9,0.0,0.0,0.0,0.0
Rick Adelman,HOU,4,20,82,43,39,328,193,135,1561,945,616,0.605,0.0,0.0,0.0,19.0,9.0,10.0,157.0,79.0,78.0,2011,11,0.0,0.0,157.0,1.222
Gregg Popovich,SAS,15,15,82,61,21,1180,797,383,1180,797,383,0.675,6.0,2.0,4.0,181.0,108.0,73.0,181.0,108.0,73.0,2011,27,0.297,0.0,175.0,0.591
Keith Smart,GSW,1,2,82,36,46,82,36,46,122,45,77,0.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,10,0.0,0.0,0.0,0.0
Vinny Del Negro,LAC,1,3,82,32,50,82,32,50,246,114,132,0.463,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,8.0,2011,13,0.0,0.0,12.0,0.015
Flip Saunders,WAS,2,15,82,23,59,164,49,115,1147,636,511,0.554,0.0,0.0,0.0,0.0,0.0,0.0,98.0,47.0,51.0,2011,30,0.0,0.0,98.0,0.519
Kurt Rambis,MIN,2,3,82,17,65,164,32,132,201,56,145,0.279,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,5.0,2011,18,0.0,0.0,8.0,0.0
George Karl,DEN,7,23,82,50,32,532,328,204,1739,1036,703,0.596,5.0,1.0,4.0,46.0,16.0,30.0,172.0,75.0,97.0,2011,8,0.234,0.0,333.0,1.629
Byron Scott,CLE,1,11,82,19,63,82,19,63,789,371,418,0.47,0.0,0.0,0.0,0.0,0.0,0.0,57.0,33.0,24.0,2011,6,0.0,0.0,57.0,0.956
Jerry Sloan,UTA,23,26,54,31,23,1809,1127,682,2024,1221,803,0.603,0.0,0.0,0.0,196.0,96.0,100.0,202.0,98.0,104.0,2011,29,0.0,0.0,202.0,2.468
Paul Westphal,SAC,2,9,82,24,58,164,49,115,590,316,274,0.536,0.0,0.0,0.0,0.0,0.0,0.0,49.0,27.0,22.0,2011,26,0.0,0.0,54.0,0.092
Tom Thibodeau,CHI,1,1,82,62,20,82,62,20,82,62,20,0.756,16.0,9.0,7.0,16.0,9.0,7.0,16.0,9.0,7.0,2011,5,0.798,1.0,0.0,0.0
Stan Van Gundy,ORL,4,7,82,52,30,328,222,106,513,334,179,0.651,6.0,2.0,4.0,54.0,30.0,24.0,82.0,47.0,35.0,2011,22,0.0,0.0,76.0,0.39399999999999996
Larry Brown,CHA,3,30,28,9,19,192,88,104,2338,1327,1011,0.568,0.0,0.0,0.0,4.0,0.0,4.0,235.0,120.0,115.0,2011,4,0.0,0.0,198.0,1.536
Phil Jackson,LAL,11,20,82,57,25,902,610,292,1640,1155,485,0.704,10.0,4.0,6.0,181.0,118.0,63.0,333.0,229.0,104.0,2011,14,0.005,0.0,323.0,1.737
Rick Carlisle,DAL,3,9,82,57,25,246,162,84,738,443,295,0.6,21.0,16.0,5.0,37.0,23.0,14.0,99.0,53.0,46.0,2011,7,0.003,0.0,78.0,1.2329999999999999
Mike D'Antoni,NYK,3,9,82,42,40,246,103,143,685,370,315,0.54,4.0,0.0,4.0,4.0,0.0,4.0,55.0,26.0,29.0,2011,20,0.0,0.0,51.0,0.9450000000000001
Tyrone Corbin,UTA,1,1,28,8,20,28,8,20,28,8,20,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,29,0.0,0.0,0.0,0.0
Jay Triano,TOR,3,3,82,22,60,229,87,142,229,87,142,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,28,0.0,0.0,0.0,0.0
Doug Collins,PHI,1,9,82,41,41,82,41,41,701,373,328,0.532,5.0,1.0,4.0,5.0,1.0,4.0,43.0,16.0,27.0,2011,71,0.353,0.0,38.0,0.201
Jim O'Brien,IND,4,9,44,17,27,290,121,169,630,303,327,0.481,0.0,0.0,0.0,0.0,0.0,0.0,31.0,14.0,17.0,2011,12,0.0,0.0,31.0,0.016
Alvin Gentry,PHO,3,10,82,40,42,195,112,83,598,289,309,0.483,0.0,0.0,0.0,16.0,10.0,6.0,21.0,12.0,9.0,2011,24,0.0,0.0,21.0,0.11499999999999999
Kiki Vandeweghe,NJN,1,1,64,12,52,64,12,52,64,12,52,0.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,3,0.0,0.0,0.0,0.0
Jim O'Brien,IND,3,8,82,32,50,246,104,142,586,286,300,0.488,0.0,0.0,0.0,0.0,0.0,0.0,31.0,14.0,17.0,2010,12,0.0,0.0,31.0,0.016
Paul Westphal,SAC,1,8,82,25,57,82,25,57,508,292,216,0.575,0.0,0.0,0.0,0.0,0.0,0.0,49.0,27.0,22.0,2010,26,0.0,0.0,54.0,0.092
Vinny Del Negro,CHI,2,2,82,41,41,164,82,82,164,82,82,0.5,5.0,1.0,4.0,12.0,4.0,8.0,12.0,4.0,8.0,2010,5,0.0,0.0,7.0,0.015
Kim Hughes,LAC,1,1,33,8,25,33,8,25,33,8,25,0.242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,13,0.0,0.0,0.0,0.0
Gregg Popovich,SAS,14,14,82,50,32,1098,736,362,1098,736,362,0.67,10.0,4.0,6.0,175.0,106.0,69.0,175.0,106.0,69.0,2010,27,0.0,0.0,165.0,0.591
John Kuester,DET,1,1,82,27,55,82,27,55,82,27,55,0.329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,9,0.0,0.0,0.0,0.0
Phil Jackson,LAL,10,19,82,57,25,820,553,267,1558,1098,460,0.705,23.0,16.0,7.0,171.0,114.0,57.0,323.0,225.0,98.0,2010,14,0.0,0.0,300.0,1.737
Alvin Gentry,PHO,2,9,82,54,28,113,72,41,516,249,267,0.483,16.0,10.0,6.0,16.0,10.0,6.0,21.0,12.0,9.0,2010,24,0.075,0.0,5.0,0.04
Eddie Jordan,PHI,1,9,82,27,55,82,27,55,600,257,343,0.428,0.0,0.0,0.0,0.0,0.0,0.0,26.0,8.0,18.0,2010,71,0.0,0.0,26.0,0.09699999999999999
Mike D'Antoni,NYK,2,8,82,29,53,164,61,103,603,328,275,0.544,0.0,0.0,0.0,0.0,0.0,0.0,51.0,26.0,25.0,2010,20,0.0,0.0,51.0,0.9450000000000001
Mike Woodson,ATL,6,6,82,53,29,492,206,286,492,206,286,0.419,11.0,4.0,7.0,29.0,11.0,18.0,29.0,11.0,18.0,2010,1,0.011,0.0,18.0,0.028
Scott Skiles,MIL,2,10,82,46,36,164,80,84,696,361,335,0.519,7.0,3.0,4.0,7.0,3.0,4.0,42.0,18.0,24.0,2010,17,0.509,0.0,35.0,0.358
Erik Spoelstra,MIA,2,2,82,47,35,164,90,74,164,90,74,0.549,5.0,1.0,4.0,12.0,4.0,8.0,12.0,4.0,8.0,2010,16,0.002,0.0,7.0,0.087
Nate McMillan,POR,5,10,82,50,32,410,198,212,805,410,395,0.509,6.0,2.0,4.0,12.0,4.0,8.0,28.0,12.0,16.0,2010,66,0.174,0.0,70.0,1.921
Don Nelson,GSW,11,31,82,26,56,865,422,443,2398,1335,1063,0.557,0.0,0.0,0.0,35.0,14.0,21.0,166.0,75.0,91.0,2010,10,0.0,0.0,166.0,1.7590000000000001
Lionel Hollins,MEM,4,4,82,40,42,185,71,114,185,71,114,0.384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,15,0.01,0.0,0.0,0.0
Flip Saunders,WAS,1,14,82,26,56,82,26,56,1065,613,452,0.576,0.0,0.0,0.0,0.0,0.0,0.0,98.0,47.0,51.0,2010,30,0.0,0.0,98.0,0.519
Tom Barrise,NJN,1,1,2,0,2,2,0,2,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,3,0.0,0.0,0.0,0.0
Jeff Bower,NOH,1,1,73,34,39,73,34,39,73,34,39,0.466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,19,0.0,0.0,0.0,0.0
Rick Carlisle,DAL,2,8,82,55,27,164,105,59,656,386,270,0.588,6.0,2.0,4.0,16.0,7.0,9.0,78.0,37.0,41.0,2010,7,0.002,0.0,72.0,1.2309999999999999
Mike Dunleavy,LAC,7,17,49,21,28,541,215,326,1329,613,716,0.461,0.0,0.0,0.0,12.0,7.0,5.0,71.0,38.0,33.0,2010,13,0.0,0.0,71.0,0.5780000000000001
Jay Triano,TOR,2,2,82,40,42,147,65,82,147,65,82,0.442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,28,0.0,0.0,0.0,0.0
Scott Brooks,OKC,2,2,82,50,32,151,72,79,151,72,79,0.477,6.0,2.0,4.0,6.0,2.0,4.0,6.0,2.0,4.0,2010,21,0.78,1.0,0.0,0.0
Lawrence Frank,NJN,7,7,16,0,16,466,225,241,466,225,241,0.483,0.0,0.0,0.0,38.0,18.0,20.0,38.0,18.0,20.0,2010,3,0.0,0.0,38.0,0.013
Kurt Rambis,MIN,1,2,82,15,67,82,15,67,119,39,80,0.328,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,5.0,2010,18,0.0,0.0,8.0,0.0
Doc Rivers,BOS,6,11,82,50,32,492,280,212,831,451,380,0.543,24.0,15.0,9.0,71.0,41.0,30.0,86.0,46.0,40.0,2010,2,0.0,0.0,62.0,0.908
Mike Brown,CLE,5,5,82,61,21,410,272,138,410,272,138,0.663,11.0,6.0,5.0,71.0,42.0,29.0,71.0,42.0,29.0,2010,6,0.003,0.0,60.0,0.596
Stan Van Gundy,ORL,3,6,82,59,23,246,170,76,431,282,149,0.654,14.0,10.0,4.0,48.0,28.0,20.0,76.0,45.0,31.0,2010,22,0.008,0.0,62.0,0.386
Larry Brown,CHA,2,29,82,44,38,164,79,85,2310,1318,992,0.571,4.0,0.0,4.0,4.0,0.0,4.0,235.0,120.0,115.0,2010,4,0.037,0.0,194.0,1.499
Byron Scott,NOH,6,10,9,3,6,419,203,216,707,352,355,0.498,0.0,0.0,0.0,17.0,8.0,9.0,57.0,33.0,24.0,2010,19,0.0,0.0,57.0,0.956
Jerry Sloan,UTA,22,25,82,53,29,1755,1096,659,1970,1190,780,0.604,10.0,4.0,6.0,196.0,96.0,100.0,202.0,98.0,104.0,2010,29,0.159,0.0,192.0,2.309
Rick Adelman,HOU,3,19,82,42,40,246,150,96,1479,902,577,0.61,0.0,0.0,0.0,19.0,9.0,10.0,157.0,79.0,78.0,2010,11,0.011,0.0,157.0,1.211
George Karl,DEN,6,22,82,53,29,450,278,172,1657,986,671,0.595,6.0,2.0,4.0,41.0,15.0,26.0,167.0,74.0,93.0,2010,8,0.018,0.0,327.0,1.611
Alvin Gentry,PHO,1,8,31,18,13,31,18,13,434,195,239,0.449,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,2009,24,0.0,0.0,5.0,0.04
P.J. Carlesimo,OKC,2,8,13,1,12,95,21,74,500,204,296,0.408,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,9.0,2009,21,0.0,0.0,12.0,0.0
Doc Rivers,BOS,5,10,82,62,20,410,230,180,749,401,348,0.535,14.0,7.0,7.0,47.0,26.0,21.0,62.0,31.0,31.0,2009,2,0.025,0.0,48.0,0.883
Rick Adelman,HOU,2,18,82,53,29,164,108,56,1397,860,537,0.616,13.0,7.0,6.0,19.0,9.0,10.0,157.0,79.0,78.0,2009,11,0.248,0.0,144.0,0.9630000000000001
Maurice Cheeks,PHI,4,8,23,9,14,269,122,147,570,284,286,0.498,0.0,0.0,0.0,6.0,2.0,4.0,16.0,5.0,11.0,2009,71,0.0,0.0,16.0,0.201
Marc Iavaroni,MEM,2,2,41,11,30,123,33,90,123,33,90,0.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,15,0.0,0.0,0.0,0.0
Phil Jackson,LAL,9,18,82,65,17,738,496,242,1476,1041,435,0.705,23.0,16.0,7.0,148.0,98.0,50.0,300.0,209.0,91.0,2009,14,0.028,0.0,277.0,1.709
Johnny Davis,MEM,1,4,2,0,2,2,0,2,219,73,146,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,15,0.0,0.0,0.0,0.0
Jay Triano,TOR,1,1,65,25,40,65,25,40,65,25,40,0.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,28,0.0,0.0,0.0,0.0
Kevin McHale,MIN,2,2,63,20,43,94,39,55,94,39,55,0.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,18,0.0,0.0,0.0,0.0
Lawrence Frank,NJN,6,6,82,34,48,450,225,225,450,225,225,0.5,0.0,0.0,0.0,38.0,18.0,20.0,38.0,18.0,20.0,2009,3,0.0,0.0,38.0,0.013
Jerry Sloan,UTA,21,24,82,48,34,1673,1043,630,1888,1137,751,0.602,5.0,1.0,4.0,186.0,92.0,94.0,192.0,94.0,98.0,2009,29,0.128,0.0,187.0,2.181
Lionel Hollins,MEM,3,3,39,13,26,103,31,72,103,31,72,0.301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,15,0.0,0.0,0.0,0.0
Mike D'Antoni,NYK,1,7,82,32,50,82,32,50,521,299,222,0.574,0.0,0.0,0.0,0.0,0.0,0.0,51.0,26.0,25.0,2009,20,0.0,0.0,51.0,0.9450000000000001
Michael Curry,DET,1,1,82,39,43,82,39,43,82,39,43,0.476,4.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0,2009,9,0.0,0.0,0.0,0.0
Terry Porter,PHO,1,3,51,28,23,51,28,23,215,99,116,0.46,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,2009,24,0.0,0.0,5.0,0.089
Ed Tapscott,WAS,1,1,71,18,53,71,18,53,71,18,53,0.254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,30,0.0,0.0,0.0,0.0
Byron Scott,NOH,5,9,82,49,33,410,200,210,698,349,349,0.5,5.0,1.0,4.0,17.0,8.0,9.0,57.0,33.0,24.0,2009,19,0.0,0.0,52.0,0.956
Tony DiLeo,PHI,1,1,59,32,27,59,32,27,59,32,27,0.542,6.0,2.0,4.0,6.0,2.0,4.0,6.0,2.0,4.0,2009,71,0.002,0.0,0.0,0.0
Nate McMillan,POR,4,9,82,54,28,328,148,180,723,360,363,0.498,6.0,2.0,4.0,6.0,2.0,4.0,22.0,10.0,12.0,2009,66,0.208,0.0,64.0,1.7129999999999999
Don Nelson,GSW,10,30,82,29,53,783,396,387,2316,1309,1007,0.565,0.0,0.0,0.0,35.0,14.0,21.0,166.0,75.0,91.0,2009,10,0.0,0.0,166.0,1.7590000000000001
Vinny Del Negro,CHI,1,1,82,41,41,82,41,41,82,41,41,0.5,7.0,3.0,4.0,7.0,3.0,4.0,7.0,3.0,4.0,2009,5,0.015,0.0,0.0,0.0
Mike Brown,CLE,4,4,82,66,16,328,211,117,328,211,117,0.643,14.0,10.0,4.0,60.0,36.0,24.0,60.0,36.0,24.0,2009,6,0.582,1.0,46.0,0.014
Randy Wittman,MIN,3,5,19,4,15,143,38,105,307,100,207,0.326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,18,0.0,0.0,0.0,0.0
Jim O'Brien,IND,2,7,82,36,46,164,72,92,504,254,250,0.504,0.0,0.0,0.0,0.0,0.0,0.0,31.0,14.0,17.0,2009,12,0.0,0.0,31.0,0.016
George Karl,DEN,5,21,82,54,28,368,225,143,1575,933,642,0.592,16.0,10.0,6.0,35.0,13.0,22.0,161.0,72.0,89.0,2009,8,0.192,0.0,311.0,1.419
Stan Van Gundy,ORL,2,5,82,59,23,164,111,53,349,223,126,0.639,24.0,13.0,11.0,34.0,18.0,16.0,62.0,35.0,27.0,2009,22,0.246,0.0,38.0,0.13999999999999999
Sam Mitchell,TOR,5,5,17,8,9,345,156,189,345,156,189,0.452,0.0,0.0,0.0,11.0,3.0,8.0,11.0,3.0,8.0,2009,28,0.0,0.0,11.0,0.616
Reggie Theus,SAC,2,2,24,6,18,106,44,62,106,44,62,0.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,26,0.0,0.0,0.0,0.0
Scott Brooks,OKC,1,1,69,22,47,69,22,47,69,22,47,0.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,21,0.0,0.0,0.0,0.0
Scott Skiles,MIL,1,9,82,34,48,82,34,48,614,315,299,0.513,0.0,0.0,0.0,0.0,0.0,0.0,35.0,15.0,20.0,2009,17,0.002,0.0,35.0,0.356
Gregg Popovich,SAS,13,13,82,54,28,1016,686,330,1016,686,330,0.675,5.0,1.0,4.0,165.0,102.0,63.0,165.0,102.0,63.0,2009,27,0.0,0.0,160.0,0.591
Rick Carlisle,DAL,1,7,82,50,32,82,50,32,574,331,243,0.577,10.0,5.0,5.0,10.0,5.0,5.0,72.0,35.0,37.0,2009,7,0.002,0.0,62.0,1.229
Mike Woodson,ATL,5,5,82,47,35,410,153,257,410,153,257,0.373,11.0,4.0,7.0,18.0,7.0,11.0,18.0,7.0,11.0,2009,1,0.028,0.0,7.0,0.0
Mike Dunleavy,LAC,6,16,82,19,63,492,194,298,1280,592,688,0.463,0.0,0.0,0.0,12.0,7.0,5.0,71.0,38.0,33.0,2009,13,0.0,0.0,71.0,0.5780000000000001
Erik Spoelstra,MIA,1,1,82,43,39,82,43,39,82,43,39,0.524,7.0,3.0,4.0,7.0,3.0,4.0,7.0,3.0,4.0,2009,16,0.087,0.0,0.0,0.0
Kenny Natt,SAC,1,1,58,11,47,58,11,47,58,11,47,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,26,0.0,0.0,0.0,0.0
Eddie Jordan,WAS,6,8,11,1,10,421,197,224,518,230,288,0.444,0.0,0.0,0.0,26.0,8.0,18.0,26.0,8.0,18.0,2009,30,0.0,0.0,26.0,0.097
Larry Brown,CHA,1,28,82,35,47,82,35,47,2228,1274,954,0.572,0.0,0.0,0.0,0.0,0.0,0.0,231.0,120.0,111.0,2009,4,0.01,0.0,194.0,1.489
Isiah Thomas,NYK,2,5,82,23,59,164,56,108,410,187,223,0.456,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,10.0,2008,20,0.0,0.0,15.0,0.015
Jim Boylan,CHI,1,1,56,24,32,56,24,32,56,24,32,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008,5,0.0,0.0,0.0,0.0
Flip Saunders,DET,3,13,82,59,23,246,176,70,983,587,396,0.597,17.0,10.0,7.0,51.0,30.0,21.0,98.0,47.0,51.0,2008,9,0.002,0.0,81.0,0.517
Jim O'Brien,IND,1,6,82,36,46,82,36,46,422,218,204,0.517,0.0,0.0,0.0,0.0,0.0,0.0,31.0,14.0,17.0,2008,12,0.0,0.0,31.0,0.016
Nate McMillan,POR,3,8,82,41,41,246,94,152,641,306,335,0.477,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,8.0,2008,66,0.005,0.0,64.0,1.708
Jerry Sloan,UTA,20,23,82,54,28,1591,995,596,1806,1089,717,0.603,12.0,6.0,6.0,181.0,91.0,90.0,187.0,93.0,94.0,2008,29,0.078,0.0,175.0,2.1029999999999998
Gregg Popovich,SAS,12,12,82,56,26,934,632,302,934,632,302,0.677,17.0,9.0,8.0,160.0,101.0,59.0,160.0,101.0,59.0,2008,27,0.0,0.0,143.0,0.591
Mike Woodson,ATL,4,4,82,37,45,328,106,222,328,106,222,0.323,7.0,3.0,4.0,7.0,3.0,4.0,7.0,3.0,4.0,2008,1,0.0,0.0,0.0,0.0
P.J. Carlesimo,SEA,1,7,82,20,62,82,20,62,487,203,284,0.417,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,9.0,2008,21,0.0,0.0,12.0,0.0
Lawrence Frank,NJN,5,5,82,34,48,368,191,177,368,191,177,0.519,0.0,0.0,0.0,38.0,18.0,20.0,38.0,18.0,20.0,2008,3,0.0,0.0,38.0,0.013
Mike D'Antoni,PHO,5,6,82,55,27,389,253,136,439,267,172,0.608,5.0,1.0,4.0,51.0,26.0,25.0,51.0,26.0,25.0,2008,24,0.002,0.0,46.0,0.9430000000000001
Pete Myers,CHI,2,2,1,0,1,3,0,3,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008,5,0.0,0.0,0.0,0.0
P.J. Carlesimo,SEA,1,7,82,20,62,82,20,62,487,203,284,0.417,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,9.0,2008,21,0.0,0.0,12.0,0.0
Eddie Jordan,WAS,5,7,82,43,39,410,196,214,507,229,278,0.452,6.0,2.0,4.0,26.0,8.0,18.0,26.0,8.0,18.0,2008,30,0.075,0.0,20.0,0.022
Avery Johnson,DAL,4,4,82,51,31,264,194,70,264,194,70,0.735,5.0,1.0,4.0,47.0,23.0,24.0,47.0,23.0,24.0,2008,7,0.0,0.0,42.0,1.084
Mike Dunleavy,LAC,5,15,82,23,59,410,175,235,1198,573,625,0.478,0.0,0.0,0.0,12.0,7.0,5.0,71.0,38.0,33.0,2008,13,0.0,0.0,71.0,0.5780000000000001
Pat Riley,MIA,11,24,82,15,67,849,454,395,1904,1210,694,0.636,0.0,0.0,0.0,70.0,34.0,36.0,282.0,171.0,111.0,2008,16,0.0,0.0,282.0,2.338
George Karl,DEN,4,20,82,50,32,286,171,115,1493,879,614,0.589,4.0,0.0,4.0,19.0,3.0,16.0,145.0,62.0,83.0,2008,8,0.0,0.0,307.0,1.419
Mike Brown,CLE,3,3,82,45,37,246,145,101,246,145,101,0.589,13.0,7.0,6.0,46.0,26.0,20.0,46.0,26.0,20.0,2008,6,0.0,0.0,33.0,0.014
Larry Krystkowiak,MIL,2,2,82,26,56,100,31,69,100,31,69,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008,17,0.0,0.0,0.0,0.0
Doc Rivers,BOS,4,9,82,66,16,328,168,160,667,339,328,0.508,26.0,16.0,10.0,33.0,19.0,14.0,48.0,24.0,24.0,2008,2,0.387,0.0,22.0,0.496
Rick Adelman,HOU,1,17,82,55,27,82,55,27,1315,807,508,0.614,6.0,2.0,4.0,6.0,2.0,4.0,144.0,72.0,72.0,2008,11,0.309,0.0,138.0,0.654
Stan Van Gundy,ORL,1,4,82,52,30,82,52,30,267,164,103,0.614,10.0,5.0,5.0,10.0,5.0,5.0,38.0,22.0,16.0,2008,22,0.022,0.0,28.0,0.118
Don Nelson,GSW,9,29,82,48,34,701,367,334,2234,1280,954,0.573,0.0,0.0,0.0,35.0,14.0,21.0,166.0,75.0,91.0,2008,10,0.0,0.0,166.0,1.7590000000000001
Phil Jackson,LAL,8,17,82,57,25,656,431,225,1394,976,418,0.7,21.0,14.0,7.0,125.0,82.0,43.0,277.0,193.0,84.0,2008,14,0.09,0.0,256.0,1.619
Byron Scott,NOH,4,8,82,56,26,328,151,177,616,300,316,0.487,12.0,7.0,5.0,12.0,7.0,5.0,52.0,32.0,20.0,2008,19,0.733,1.0,40.0,0.22299999999999998
Maurice Cheeks,PHI,3,7,82,40,42,246,113,133,547,275,272,0.503,6.0,2.0,4.0,6.0,2.0,4.0,16.0,5.0,11.0,2008,71,0.13,0.0,10.0,0.07100000000000001
Sam Mitchell,TOR,4,4,82,41,41,328,148,180,328,148,180,0.451,5.0,1.0,4.0,11.0,3.0,8.0,11.0,3.0,8.0,2008,28,0.0,0.0,6.0,0.616
Marc Iavaroni,MEM,1,1,82,22,60,82,22,60,82,22,60,0.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008,15,0.0,0.0,0.0,0.0
Scott Skiles,CHI,5,8,25,9,16,337,165,172,532,281,251,0.528,0.0,0.0,0.0,22.0,10.0,12.0,35.0,15.0,20.0,2008,5,0.0,0.0,35.0,0.356
Sam Vincent,CHA,1,1,82,32,50,82,32,50,82,32,50,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008,4,0.0,0.0,0.0,0.0
Randy Wittman,MIN,2,4,82,22,60,124,34,90,288,96,192,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008,18,0.0,0.0,0.0,0.0
Reggie Theus,SAC,1,1,82,38,44,82,38,44,82,38,44,0.463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008,26,0.0,0.0,0.0,0.0
Pat Riley,MIA,10,23,82,44,38,767,439,328,1822,1195,627,0.656,4.0,0.0,4.0,70.0,34.0,36.0,282.0,171.0,111.0,2007,16,0.005,0.0,278.0,2.333
Bernie Bickerstaff,CHA,3,13,82,33,49,246,77,169,932,415,517,0.445,0.0,0.0,0.0,0.0,0.0,0.0,33.0,12.0,21.0,2007,4,0.0,0.0,88.0,0.258
Larry Krystkowiak,MIL,1,1,18,5,13,18,5,13,18,5,13,0.278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,17,0.0,0.0,0.0,0.0
